Name,Latitude,Longitude,Description
LEDGE033,25.931449,-80.087788,ledge series snapper grouper and other bottom fish
LEDGE034,25.922861,-80.087682,ledge series snapper grouper and other bottom fish
LEDGE035,25.928282,-80.105696,ledge series snapper grouper and other bottom fish
LEDGE036,25.888684,-80.100495,ledge series snapper grouper and other bottom fish
LEDGE038,25.870858,-80.099277,ledge series snapper grouper and other bottom fish
LEDGE039,25.868256,-80.102242,ledge series snapper grouper and other bottom fish
LEDGE043,25.977,-80.075,NICE LEDGE HOLDS FISH
LEDGE044,25.978,-80.057,GOOD PLATEAU LEDGE HOLDS BOTTOM FISH
LEDGE045,25.972,-80.066,DIP AND MINI LEDGE GOOD FISHING
LEDGEPOINT,25.752283,-80.10815,BAIT AND FISH EDGE OF THE CORAL POINT
LegionPark,25.835367,-80.180311,BOAT RAMP
LEON'SBARGE,25.778033,-80.072867,100 FOOT BARGE
LIBERTYSHIP,25.85635,-80.043233,450 FT STEEL SHIP
LIMEBOULDERS1,25.907217,-80.133883,LIMESTONE BOULDERS
LIMESTONEBTM1,25.813,-80.08933,ROCK LIMESTONE BOTTOM
LIMESTONEDUMP,25.948333,-80.12943300000001,LIMESTONE WRECKS
LIVE BOTOM 45,25.634546,-80.12170999999999,SCATTERED GOOD BOTTOM
LIVE BOTTOM 11,25.778707,-80.08976800000001,SCATTERED LIVE BOTTOM GOOD FISHING
LIVE BOTTOM 22,25.783709,-80.049767,LIVE BOTTOM AREA
LIVE BOTTOM 23,25.768862,-80.12269000000001,SMALL AREA OF LIVE BOTTOM HOLDS BAIT ON FLOOD TIDE
LIVE BOTTOM 233,25.524375,-80.14116,BOTTOM FISHING AND TROLLING
LIVE BOTTOM 39,25.7,-80.083336,SCATTERED GOOD LIVE BOTTOM
LIVEBOTTOM34,25.789955,-80.104131,LIVE BOTTOM AND ROCKS
LONGREEF,25.44383300000001,-80.12000000000001,ò tp://www.divespots.com/scuba/spotID-16/view.divespot
LUGANAWRK,25.44372,-80.119761,OLD WRECK REMAINS
M BOTTOM1,25.773058,-80.085489,CHUM BOTTOM FISH AND LIVE LINE
M BOTTOM2,25.785853,-80.085965,CHUM BOTTOM FISH AND LIVE LINE
M BOTTOM3,25.790538,-80.085807,CHUM BOTTOM FISH AND LIVE LINE
M PATCH8,25.801,-80.113,SMALL PATCH CHUM BOTTOM FISH AND LIVE LINE
MANDALAYWRK,25.44372,-80.121432,OLD WRECK REMAINS
MIAMI PATCH1,25.860925,-80.107625,NORTH MIAMI PATCH REEF AREA
MIAMISPIRIT,25.698,-80.087,ÿÿtp://www.divespots.com/scuba/spotID-11/view.divespot
MIGUANA FREIGHTER,25.699383,-80.0827,"100 FT FREIGHTER SEIZED BY US CUSTOMS, ONE OF THREE SUNK THIS DAY, DEPTH 138, CONFIRMED USING DGPS"
MIMIVAWRECK,25.383723,-80.049767,WRECK AND LIVE BOTTOM OUTCROPPINGS IN DEEP WATER
MINE SWEEPER,25.80675,-80.05289999999999,"177 FT WOOD NAVAL MINE SWEEPER, DEPTH 180, CONFIRMED USING LORAN"
MINESWEEPER1,25.83597,-80.08207,"OLD MINE SWEEPER WRECK ON BOTTOM, DRIFT LIVE BAIT"
MINI LEDGES,26.03600000000001,-80.086,MINI LEDGES SUPERB FISHING TOP AND BOTTOM
MINI LEDGES1,26.05,-80.086,SERIES OF MINI LEDGES EXCELLENT BOTTOM FISHING TROLLING LIVE LINING
MINILEDGE2,26.057,-80.09099999999999,LEDGE AND EXCELLENT BOTTOM FISHING TROLLING LIVE LINING
MIRACLES EXPRESS,25.6699,-80.072633,"100 FOOT STEEL SHIP MIRACLES EXPRESS' """
MISS DANIA BEACH,26.010083,-80.0917,126 FT FREIGHTER
MISS LUCY,25.688883,-80.076217,40 FT STEEL TUGBOAT
MISSKARLLINE,25.779533,-80.072233,85 FT SHIP MISS KARLINE
MITIGATIONREEF1,25.907867,-80.089767,"40 MOSTKOFF MODULES ON BOTTOM, HOLDS FISH"
MITIGATIONREEF2,25.75085,-80.096,120K TONS OF LIMESTONE
MIXING DRUMS,25.6673,-80.070517,"20 STEEL CONCRETE MIXING DRUMS, DEPTH 84 FT"
MOBY ONE,25.623333,-80.081667,"75 FOOT WOODEN SHRIMP BOAT THE MOBY ONE, DEPTH 97, RELIEF 11"
MODULESREEF,25.90275,-80.089883,176 DERM CONCRETE MODULES
Morningside Park,25.82324,-80.17846,BOAT RAMP
MWBARGEWRECK,25.811,-80.07338,WRECK INSUDE ANCHIRAGE AREA
MYSTIC ISLE,25.710929,-80.08087500000001,PERMIT AJ COBIA WRECK AND LIVE BOTTOM
NARWALWRK,25.9106,-80.08425,Z
NAVYTUG,25.908717,-80.09010000000001,120 NAVY STEEL TUGBOAT C-ONE
NEPTUNEREEF,25.700583,-80.089967,1000 TONS BRONZE AND CONCRETE SCULPTURES
NORMANDY,25.8498,-80.050163,SCATTERED BOTTOM
NORMANDY WRECK,25.833664,-80.08295099999999,WRECK
NSWCARRAYS,26.010017,-80.093733,STEEL ARRAYS AND SCRAP PIECES
OLDBUOY,26.048091,-80.06284599999999,PHINS AND OTHER PELAGICS ON AND NEAR
OLDWRECK2,25.9,-80.07167,old wreck remains on bottom
OLDWRECK5,25.81204,-80.08998,old wreck in general area btm fish drift troll
OLDWRECK8,25.902567,-80.078383,old wreck in general area holds fish btm fish drift troll
ORIONWRECK,25.691,-80.086333,WRECK IN 1OO FT
PARKERBARGE,25.697,-80.087217,AJ AND BONITO 120 FEET DECK BARGE
PASCBARGE,25.818667,-80.08161699999999,STEEL DECK BARGE
PATCHREEF1,25.38814,-80.17197,patch reef bottom fishing with cut bait chum fish top and bottom
PATCHREEF10,25.45773,-80.18117,patch reef bottom fishing with cut bait chum fish top and bottom
PATCHREEF11,25.4467,-80.169292,patch reef bottom fishing with cut bait chum fish top and bottom
PATCHREEF12,25.3905,-80.17521000000001,patch reef bottom fishing with cut bait chum fish top and bottom
PATCHREEF13,25.55287,-80.11386,patch reef bottom fishing with cut bait chum fish top and bottom
PATCHREEF14,25.45507,-80.17228,patch reef bottom fishing with cut bait chum fish top and bottom
PATCHREEF15,25.55364,-80.11346,patch reef bottom fishing with cut bait chum fish top and bottom
PATCHREEF16,25.3904,-80.17204,patch reef bottom fishing with cut bait chum fish top and bottom
PATCHREEF17,25.38911,-80.17504,"ANCHOR AND CHUM FOR SNAPPER, GROUPER, KINGS"
PATCHREEF18,25.3898,-80.17444999999999,"ANCHOR AND CHUM FOR SNAPPER, GROUPER, KINGS"
